STDZD_PROP_CITY,state,minlat,maxlat,minlon,maxlon
MC KENZIE,AL,31.524089,31.591101,-86.855342,-86.684566
MELVIN,AL,31.8921,31.8921,-88.3908,-88.3908
MENTONE,AL,34.474438,34.652151,-85.632385,-85.508953
MERIDIANVILLE,AL,34.829562,34.898031,-86.605377,-86.50895
MIDLAND CITY,AL,31.247728,31.5737,-85.583351,-85.273
MIDWAY,AL,31.7787,32.1542,-85.592379,-85.178024
MILLBROOK,AL,32.414793,32.538013,-86.411758,-86.318926
MILLERVILLE,AL,33.1425,33.1425,-85.9429,-85.9429
MILLPORT,AL,33.446014,33.68816,-88.272438,-88.012593
MILLRY,AL,31.523073,31.6979,-88.460922,-88.179398
MINTER,AL,31.989374,32.151051,-87.222636,-86.756794
MOBILE,AL,30.53385,30.787807,-88.407449,-88.038376
MONROEVILLE,AL,31.389097,31.607065,-87.465049,-87.165307
MONTEVALLO,AL,33.002526,33.18966,-87.001287,-86.77685
MONTGOMERY,AL,31.570133,32.480241,-86.483473,-85.872665
MONTROSE,AL,30.5655,30.5655,-87.9016,-87.9016
MOODY,AL,33.566989,33.63974,-86.534164,-86.449994
MORRIS,AL,33.67967,33.773949,-86.818718,-86.719551
MOULTON,AL,34.307847,34.606547,-87.444086,-87.108894
MOUNDVILLE,AL,32.816715,33.054995,-87.729568,-87.434033
MOUNT HOPE,AL,34.400998,34.537565,-87.527482,-87.41699
MOUNT OLIVE,AL,33.596596,33.710774,-86.916374,-86.836529
MOUNT VERNON,AL,31.014644,31.140499,-88.12439,-87.979773
MULGA,AL,33.495316,33.592842,-87.117632,-86.969568
MUNFORD,AL,33.401116,33.577696,-86.041336,-85.825353
MUSCADINE,AL,33.622307,33.840518,-85.4336,-85.334632
MUSCLE SHOALS,AL,34.7152,34.81971,-87.682828,-87.436471
NAUVOO,AL,33.869531,34.063818,-87.606707,-87.350091
NEEDHAM,AL,31.914505,32.000798,-88.4017,-88.302371
NEW BROCKTON,AL,31.2826,31.511368,-86.03157,-85.835419
NEW CASTLE,AL,33.6488,33.6488,-86.7686,-86.7686
NEW HOPE,AL,34.485282,34.622013,-86.45782,-86.320427
NEW MARKET,AL,34.808105,34.99103,-86.54461,-86.337349
NEWBERN,AL,32.49524,32.651351,-87.598752,-87.525129
NEWTON,AL,31.181913,31.351458,-85.686607,-85.545053
NEWVILLE,AL,31.369073,31.588357,-85.461958,-85.2426
NORTHPORT,AL,33.215604,33.5577,-87.769534,-87.367751
NOTASULGA,AL,32.501899,32.629158,-85.821602,-85.609598
OAKMAN,AL,33.533046,33.815545,-87.478071,-87.257066
ODENVILLE,AL,33.586811,33.768586,-86.507599,-86.328673
OHATCHEE,AL,33.675769,33.879845,-86.142125,-85.913116
ONEONTA,AL,33.848798,34.059788,-86.582626,-86.323787
OPELIKA,AL,32.398363,32.758385,-85.486149,-85.197816
OPP,AL,31.1295,31.441578,-86.3785,-86.151853
ORANGE BEACH,AL,30.251299,30.310875,-87.665039,-87.456718
ORRVILLE,AL,32.158447,32.355205,-87.300156,-87.128822
OWENS CROSS ROADS,AL,34.541521,34.712268,-86.509094,-86.397278
OXFORD,AL,33.548396,33.627041,-85.957191,-85.743
OZARK,AL,31.32437,31.577772,-85.7949,-85.490257
PAINT ROCK,AL,34.624886,34.763226,-86.336982,-86.303699
PALMERDALE,AL,33.7386,33.7386,-86.6461,-86.6461
PANSEY,AL,31.057644,31.206413,-85.195927,-85.113098
